"LOCALE","en_GB","en_US"
"GAME_ATS","American Truck Simulator","American Truck Simulator"
"GAME_ETS","Euro Truck Simulator 2","Euro Truck Simulator 2"
"BUTTON_SAVE","Save","Save"
"BUTTON_LOAD","Load","Load"
"BUTTON_PREVIOUS","Previous","Previous"
"BUTTON_NEXT","Next","Next"
"BUTTON_ABOUT","About","About"
"BUTTON_EXPORT","Export","Export"
"BUTTON_COLOURS","Colours","Colors"
"BUTTON_OKAY","Okay","Okay"
"BUTTON_CONFIRM","Confirm","Confirm"
"BUTTON_CONTINUE","Continue","Continue"
"BUTTON_NEVERMIND","Nevermind","Nevermind"
"BUTTON_YES","Yes","Yes"
"BUTTON_NO","No","No"
"BUTTON_UPDATE","Update","Update"
"SETUP_VERSION","Version %s","Version %s"
"SETUP_UPDATE","New version available!","New version available!"
"SETUP_CREATE","Create a new project","Create a new project"
"SETUP_LOAD","Load an existing project","Load an existing project"
"SETUP_WELCOME","Welcome to Paint Job Packer","Welcome to Paint Job Packer"
"SETUP_QUESTION","What would you like to do today?","What would you like to do today?"
"ABOUT_TITLE","Paint Job Packer Contributors","Paint Job Packer Contributors"
"ABOUT_DEVELOPER","Developer:","Developer:"
"ABOUT_THANKS","Special Thanks:","Special Thanks:"
"ABOUT_CONTRIBUTORS","Contributors:","Contributors:"
"ABOUT_TRANSLATORS","Translators:","Translators:"
"MOD_TITLE","Mod Manager Info","Mod Manager Info"
"MOD_NAME","Mod Name","Mod Name"
"MOD_AUTHOR","Author","Author"
"MOD_VERSION","Version","Version"
"MOD_DESCRIPTION","Description","Description"
"MOD_QUESTION","Which game is your mod for?","Which game is your mod for?"
"CABIN_LARGEST","Largest cabin only","Largest cabin only"
"CABIN_ALL","All cabins","All cabins"
"CABIN_SELECTED","Selected cabins","Selected cabins"
"CABIN_DSPLIT","Don't split, one per truck","Don't split, one per truck"
"CABIN_SPLIT","Split, one per cabin","Split, one per cabin"
"PJOB_TITLE","In-Game Paint Job Info","In-Game Paint Job Info"
"PJOB_NAME","Name","Name"
"PJOB_PRICE","Price","Price"
"PJOB_UNLOCK","Unlock level","Unlock level"
"PJOB_UNLOCKD","Unlocked by default","Unlocked by default"
"PJOB_VEHICLES","Vehicles Supported (%s)","Vehicles Supported (%s)"
"INTERNAL_TITLE","Other Settings","Other Settings"
