"context","target"
"LOCALE","de"
"GAME_ATS","American Truck Simulator"
"GAME_ETS","Euro Truck Simulator 2"
"BUTTON_SAVE","Speichern"
"BUTTON_LOAD","Laden"
"BUTTON_PREVIOUS","Vorheriges"
"BUTTON_NEXT","Nächstes"
"BUTTON_ABOUT","Über"
"BUTTON_EXPORT","Exportieren"
"BUTTON_COLOURS","Farben"
"BUTTON_OKAY","Okay"
"BUTTON_CONFIRM","Bestätigen"
"BUTTON_CONTINUE","Fortfahren"
"BUTTON_NEVERMIND","Egal"
"BUTTON_YES","Ja"
"BUTTON_NO","Nein"
"BUTTON_UPDATE","Aktualisieren"
"SETUP_VERSION","Version %s Versionen"
"SETUP_UPDATE","Neue Version verfügbar!"
"SETUP_CREATE","Ein neues Projekt erstellen"
"SETUP_LOAD","Ein bestehendes Projekt laden"
"SETUP_WELCOME","Willkommen bei Paint Job Packer"
"SETUP_QUESTION","Was möchtest du heute machen?"
"ABOUT_TITLE","Mitwirkende am Paint Job Packer"
"ABOUT_DEVELOPER","Entwickler:"
"ABOUT_THANKS","Danksagung:"
"ABOUT_CONTRIBUTORS","Mitwirkende:"
"ABOUT_TRANSLATORS","ÜbersetzerInnen:"
"MOD_TITLE","Mod-Manager Info"
"MOD_NAME","Mod Name"
"MOD_AUTHOR","Autor"
"MOD_VERSION","Version"
"MOD_DESCRIPTION","Beschreibung"
"MOD_QUESTION","Für welches Spiel ist deine Mod?"
"CABIN_LARGEST","Nur die größte Fahrerkabine"
"CABIN_ALL","Alle Fahrerkabinen"
"CABIN_SELECTED","Ausgewählte Fahrerkabinen"
"CABIN_DSPLIT","Nicht aufteilen – eine pro LKW"
"CABIN_SPLIT","Aufteilung: eine pro Fahrerkabine"
"PJOB_TITLE","Informationen zur Lackierung im Spiel"
"PJOB_NAME","Name"
"PJOB_PRICE","Preis"
"PJOB_UNLOCK","Freischaltbedingung"
"PJOB_UNLOCKD","Standardmäßig freigeschaltet"
"PJOB_VEHICLES","Unterstützte Fahrzeuge (%s)"
"INTERNAL_TITLE","Weitere Einstellungen"
"INTERNAL_NAME","Interner Name"
"INTERNAL_CABIN","Unterstützte Fahrerkabinen"
"INTERNAL_PJOB","Lackierungen aufteilen"
"TAB_TRUCKS","LKWs"
"TAB_TRAILERS","Auflieger"
"TAB_BUSES","Busse"
"TAB_CARS","PKWs"
