"context","target"
"LOCALE",""
"GAME_ATS","아메리칸 트럭 시뮬레이터"
"GAME_ETS","유로 트럭 시뮬레이터 2"
"BUTTON_SAVE","저장"
"BUTTON_LOAD","불러오기"
"BUTTON_PREVIOUS","이전"
"BUTTON_NEXT","다음"
"BUTTON_ABOUT","약"
"BUTTON_EXPORT","내보내기"
"BUTTON_COLOURS","색상"
"BUTTON_OKAY","양호"
"BUTTON_CONFIRM","확인"
"BUTTON_CONTINUE","계속"
"BUTTON_NEVERMIND","이해"
"BUTTON_YES","네"
"BUTTON_NO","아니오"
"BUTTON_UPDATE","업데이트"
"SETUP_VERSION","버전 %s"
"SETUP_UPDATE","새 버전 사용 가능!"
"SETUP_CREATE","새 프로젝트 만들기"
"SETUP_LOAD","기존 프로젝트 로드"
"SETUP_WELCOME","Paint Job Packer에 오신 것을 환영합니다"
"SETUP_QUESTION","오늘 무엇을 하시겠습니까?"
"ABOUT_TITLE","Paint Job Packer 기여자"
"ABOUT_DEVELOPER","개발자:"
"ABOUT_THANKS","특별 감사:"
"ABOUT_CONTRIBUTORS","기여자:"
"ABOUT_TRANSLATORS","번역가:"
"MOD_TITLE","모드 매니저 정보"
"MOD_NAME","모드 이름"
"MOD_AUTHOR","저자"
"MOD_VERSION","버전"
"MOD_DESCRIPTION","설명"
"MOD_QUESTION","당신이 만든 모드는 어떤 게임용인가요?"
"CABIN_LARGEST","가장 큰 운전석만 해당"
"CABIN_ALL","모든 운전석"
"CABIN_SELECTED","선택된 운전석"
"CABIN_DSPLIT","트럭 한 대당 하나씩 나누지 마십시오"
"CABIN_SPLIT","운전석당 하나씩 분할"
"PJOB_TITLE","게임 내 페인트 작업 정보"
"PJOB_NAME","이름"
"PJOB_PRICE","가격"
"PJOB_UNLOCK","잠금 해제 레벨"
"PJOB_UNLOCKD","기본적으로 잠금 해제됨"
"PJOB_VEHICLES","지원되는 차량 (%s)"
"INTERNAL_TITLE","기타 설정"
"INTERNAL_NAME","내부 이름"
"INTERNAL_CABIN","지원되는 운전석"
"INTERNAL_PJOB","페인트 작업 분할"
"TAB_TRUCKS","트럭"
"TAB_TRAILERS","트레일러"
"TAB_BUSES","버스"
"TAB_CARS","자동차"
"TAB_TRUCK_MODS","트럭 모드"
"TAB_TRAILER_MODS","트레일러 모드"
"TAB_BUS_MODS","버스 모드"
"TAB_CAR_MODS","자동차 모드"
"TAB_NEW","새 페인트 작업"
"WARN_MNAME_BLANK","모드 이름은 비워둘 수 없습니다, 모드 이름을 입력하십시오"
"WARN_MNAME_BLANKS","모드 이름이 비어 있습니다"
"WARN_MNAME_INVAL","모드 이름에는 다음 문자를 포함할 수 없습니다:"
"WARN_MNAME_INVALS","모드 이름에 잘못된 문자가 포함되어 있습니다"
"WARN_MNAME_FULL","모드 이름은 마침표로 끝날 수 없습니다 ( . )"
"WARN_MNAME_FULLS","모드 이름이 마침표로 끝납니다"
"WARN_MNAME_SPC","모드 이름은 공백으로 끝날 수 없습니다"
"WARN_MNAME_SPCS","모드 이름이 공백으로 끝납니다"
"WARN_MNAME_RESER","모드 이름은 다음 중 하나일 수 없습니다:"
"WARN_MNAME_RESERS","모드 이름이 예약된 파일 이름입니다"
"WARNING_HELP","도움말"
"WARNING_TITLE","경고"
"WARN_MAUTH_INVAL","모드 제작자는 다음 문자를 포함할 수 없습니다:"
"WARN_MAUTH_INVALS","모드 제작자에 잘못된 문자가 포함되어 있습니다"
"WARN_MVER_INVAL","모드 버전에는 다음 문자를 포함할 수 없습니다:"
"WARN_MVER_INVALS","모드 버전에 잘못된 문자가 포함되어 있습니다"
"WARN_PNAME_BLANK","페인트 작업 이름은 비워둘 수 없습니다, 페인트 작업 이름을 입력하십시오"
"WARN_PNAME_BLANKS","페인트 작업 이름이 비어 있습니다"
"WARN_PNAME_INVAL","페인트 작업 이름에는 다음 문자를 포함할 수 없습니다:"
"WARN_PNAME_INVALS","페인트 작업 이름에 잘못된 문자가 포함되어 있습니다"
"WARN_PNAME_FULL","페인트 작업 이름은 마침표로 끝날 수 없습니다 ( . )"
"WARN_PNAME_FULLS","페인트 작업 이름이 마침표로 끝납니다"
"WARN_PNAME_SPC","페인트 작업 이름은 공백으로 끝날 수 없습니다"
"WARN_PNAME_SPCS","페인트 작업 이름이 공백으로 끝납니다"
"WARN_PNAME_RESER","페인트 작업 이름은 다음 중 하나일 수 없습니다:"
"WARN_PNAME_RESERS","페인트 작업 이름이 예약된 파일 이름입니다"
"WARN_PNAME_ASCII","페인트 작업 이름은 ASCII 문자만 포함할 수 있습니다:"
"WARN_PNAME_ASCIIS","페인트 작업 이름이 ASCII가 아닙니다"
"WARN_PRICE_ZERO","가격은 0이 될 수 없습니다"
"WARN_PRICE_ZEROS","가격이 0입니다"
"WARN_INAME_BLANK","내부 이름은 비워둘 수 없습니다, 내부 이름을 입력하십시오"
"WARN_INAME_BLANKS","내부 이름이 비어 있습니다"
"WARN_INAME_BLANKW","페인트 작업 내부 이름이 비어 있습니다"
"WARN_INAME_LONG10","내부 이름은 10자를 초과할 수 없습니다"
"WARN_INAME_LONG12","내부 이름은 12자를 초과할 수 없습니다"
"WARN_INAME_LONGS","내부 이름이 너무 깁니다"
"WARN_INAME_LONGW","페인트 작업 내부 이름이 너무 깁니다"
"WARN_INAME_ALPHA","내부 이름은 다음 문자만 포함할 수 있습니다, 공백 없이:"
"WARN_INAME_ALPHAS","내부 이름이 영숫자가 아닙니다"
"WARN_INAME_ALPHAW","페인트 작업 내부 이름이 영숫자가 아닙니다"
"WARN_INAME_RESER","내부 이름은 다음 중 어느 것도 될 수 없습니다:"
"WARN_INAME_RESERS","내부 이름은 예약된 파일 이름입니다"
"WARN_INAME_RESERW","페인트 작업 내부 이름은 예약된 파일 이름입니다"
"WARN_INAME_CONF","다음 페인트 작업의 내부 이름은 동일합니다:"
"WARN_INAME_CONFS","내부 이름 충돌"
"WARN_INAME_CONFW","페인트 작업 내부 이름이 충돌합니다"
"WARN_VEH_NONE","페인트 작업에 지원할 트럭, 트레일러 또는 모드를 하나 이상 선택해 주십시오"
"WARN_VEH_NONES","선택된 차량 없음"
"WARN_VEH_INCOM","호환되지 않는 차량"
"WARN_TEXT","계속 진행하기 전에 다음 오류를 수정해야 합니다:"
"CONFIRM_STARTT","처음으로 돌아가시겠습니까?"
"CONFIRM_START","처음으로 돌아가면 저장되지 않은 모든 진행 상황을 잃게 될 것입니다."
"CONFIRM_TEXT","계속하시겠습니까?"
"CONFIRM_LOADT","프로젝트를 불러오시겠습니까?"
"CONFIRM_LOAD","프로젝트를 로드하면 저장되지 않은 모든 진행 상황을 잃게 됩니다."
"CONFIRM_SAVET","모드를 내보내지 않음"
"CONFIRM_SAVE","이 기능은 모드를 내보내는 것이 아니라 나중에 다시 돌아오도록 Paint Job Packer 프로젝트를 저장하기 위한 것입니다."
"CONFIRM_SAVEE","모드를 내보내려면 게임 내 페인트 작업 정보 화면에서 내보내기를 누릅니다."
"SAVE_TITLE","프로젝트 저장"
"SAVE_INVALT","유효한 프로젝트 파일이 아님"
"SAVE_INVAL","선택한 파일은 Paint Job Packer 프로젝트 파일이 아닙니다."
"SAVE_INVALQ","대신 %s로 저장하시겠습니까?"
"LOAD_TITLE","프로젝트 불러오기"
"LOAD_INVAL",".pjpproject 파일을 선택하십시오."
"EXPORT_TITLE","모드 내보내기 옵션"
"EXPORT_CHOOSE","내보내기 위치 선택"
"EXPORT_SELECT","모드를 내보낼 위치를 선택하십시오"
"EXPORT_FOLDER","선택된 위치: %s"
"EXPORT_CREATE","%s 폴더가 생성됩니다"
"EXPORT_EMPTY","빈 자리 표시자 사용"
"EXPORT_TEMPLATES","템플릿 사용"
"EXPORT_WINDOW","내보내기 모드"
"EXPORT_EXISTST","폴더 존재"
"EXPORT_EXISTS","폴더 %s이(가) 이미 존재합니다."
"EXPORT_EXISTS2","다른 위치를 선택하거나 %s 폴더를 삭제하십시오."
"EXPORT_READY","모드를 내보낼 준비 완료 :)"
"EXPORT_DONET","내보내기 완료"
"EXPORT_DONE","모드 파일이 다음 위치로 내보내졌습니다:"
"EXPORT_DONE2","Paint Job Packer를 이용해 주셔서 감사합니다! 확인을 눌러 종료"
"THEME_DARK","다크 모드"
"THEME_LIGHT","라이트 모드"
"WSHOP_LOCAL","Steam Workshop 파일 생성 안 함"
