"context","target"
"LOCALE","pt_BR"
"GAME_ATS",""
"GAME_ETS",""
"BUTTON_SAVE","Salvar"
"BUTTON_LOAD","Carregar"
"BUTTON_PREVIOUS","Voltar"
"BUTTON_NEXT","Avançar"
"BUTTON_ABOUT","Sobre"
"BUTTON_EXPORT","Exportar"
"BUTTON_COLOURS","Cores"
"BUTTON_OKAY","Certo"
"BUTTON_CONFIRM","Confirmar"
"BUTTON_CONTINUE","Continuar"
"BUTTON_NEVERMIND","Deixa pra lá"
"BUTTON_YES","Sim"
"BUTTON_NO","Não"
"BUTTON_UPDATE","Atualizar"
"SETUP_VERSION","Versão %s"
"SETUP_UPDATE","Nova versão disponível!"
"SETUP_CREATE","Criar novo projeto"
"SETUP_LOAD","Abrir um projeto existente"
"SETUP_WELCOME","Bem vindo ao Paint Job Packer"
"SETUP_QUESTION","O que você gostaria de fazer hoje?"
"ABOUT_TITLE","Pessoas que contribuem com o Paint Job Packer"
"ABOUT_DEVELOPER","Desenvolvedor:"
"ABOUT_THANKS","Agradecimentos Especiais:"
"ABOUT_CONTRIBUTORS","Contribuições:"
"ABOUT_TRANSLATORS","Tradutores:"
"MOD_TITLE","Informações no Gerente de Mods"
"MOD_NAME","Nome do Mod"
"MOD_AUTHOR","Autor"
"MOD_VERSION","Versão"
"MOD_DESCRIPTION","Descrição"
"MOD_QUESTION","Para qual jogo será o mod?"
"CABIN_LARGEST","Apenas cabines maiores"
"CABIN_ALL","Todas as Cabines"
"CABIN_SELECTED","Escolher Cabines"
"CABIN_DSPLIT","Não Separar, uma por caminhão"
"CABIN_SPLIT","Separar, uma por cabine"
"PJOB_TITLE","Informações dentro do jogo"
"PJOB_NAME","Nome"
"PJOB_PRICE","Preço"
"PJOB_UNLOCK","Nível de Desbloqueio"
"PJOB_UNLOCKD","Desbloqueado por padrão"
"PJOB_VEHICLES","Veículos Suportados (%s)"
"INTERNAL_TITLE","Outras configurações"
"INTERNAL_NAME","Nome interno"
"INTERNAL_CABIN","Cabines suportadas"
"INTERNAL_PJOB","Dividir Pinturas"
"TAB_TRUCKS","Caminhões"
"TAB_TRAILERS","Reboques"
"TAB_BUSES","Ônibus"
"TAB_CARS","Carros"
"TAB_TRUCK_MODS","Mods de Caminhões"
"TAB_TRAILER_MODS","Mods de Reboques"
"TAB_BUS_MODS","Mods de ônibus"
"TAB_CAR_MODS","Mods de Carros"
"TAB_NEW","Nova Pintura"
"WARN_MNAME_BLANK","O nome do mod não pode ser vazio, por favor, insira um nome para o mod"
"WARN_MNAME_BLANKS","O nome do mod está vazio"
"WARN_MNAME_INVAL","O Nome do mod não pode conter estes caracteres:"
"WARN_MNAME_INVALS","O Nome do mod contém caracteres inválidos"
"WARN_MNAME_FULL","O Nome do mod não pode terminar com um ponto final (.)"
"WARN_MNAME_FULLS","O nome do mod termina com um ponto final"
"WARN_MNAME_SPC","O nome do mod não pode terminar com um espaço"
"WARN_MNAME_SPCS","O nome do mod termina com um espaço"
"WARN_MNAME_RESER","O Nome do mod não por ter o seguinte:"
"WARN_MNAME_RESERS","O nome do mod é um nome de arquivo reservado"
"WARNING_HELP","Ajuda"
"WARNING_TITLE","Aviso"
"WARN_MAUTH_INVAL","O autor do mod não pode conter os seguintes caracteres:"
"WARN_MAUTH_INVALS","Autor do mod contém caracteres inválidos"
"WARN_MVER_INVAL","A versão do mod não pode conter os seguintes caracteres:"
"WARN_MVER_INVALS","Versão do mod contém caracteres inválidos"
"WARN_PNAME_BLANK","O nome da pintura não pode estar vazio, por favor, insira o nome da pintura"
"WARN_PNAME_BLANKS","Nome da Pintura está vazio"
"WARN_PNAME_INVAL","O nome da pintura não pode conter os seguintes caracteres:"
"WARN_PNAME_INVALS","Nome da Pintura possui caracteres inválidos"
"WARN_PNAME_FULL","Nome da Pintura não pode conter ou terminar com um ponto final ( . )"
"WARN_PNAME_FULLS","Nome da pintura termina com um ponto final"
"WARN_PNAME_SPC","Nome da Pintura não pode terminar com um espaço"
"WARN_PNAME_SPCS","Nome da pintura termina com um espaço"
"WARN_PNAME_RESER","O nome da pintura não pode ser nenhum dos seguintes:"
"WARN_PNAME_RESERS","O nome da pintura é um nome de arquivo reservado"
"WARN_PNAME_ASCII","O nome da pintura só pode conter caracteres ASCII:"
"WARN_PNAME_ASCIIS","Nome da pintura não é ASCII"
"WARN_PRICE_ZERO","Preço não pode ser zero"
"WARN_PRICE_ZEROS","Preço é zero"
"WARN_INAME_BLANK","O nome interno não pode ser vazio, por favor, insira um nome interno"
"WARN_INAME_BLANKS","Nome interno está vazio"
"WARN_INAME_BLANKW","Nome interno da pintura está vazio"
"WARN_INAME_LONG10","Nome interno não pode ser maior que 10 caracteres"
"WARN_INAME_LONG12","Nome interno não pode ser maior que 12 caracteres"
"WARN_INAME_LONGS","Nome interno é muito grande"
"WARN_INAME_LONGW","Nome interno da pintura é muito grande"
"WARN_INAME_ALPHA","O nome interno só pode conter os seguintes caracteres, sem espaços:"
"WARN_INAME_ALPHAS","O nome interno não é alfanumérico"
"WARN_INAME_ALPHAW","O nome interno da pintura não é alfanumérico"
"WARN_INAME_RESER","O nome interno não pode ser nenhum dos seguintes:"
"WARN_INAME_RESERS","O nome interno é um nome de arquivo reservado"
"WARN_INAME_RESERW","O nome interno da pintura é um nome de arquivo reservado"
"WARN_INAME_CONF","As seguintes pinturas possuem o mesmo nome interno:"
"WARN_INAME_CONFS","Nome interno em conflito"
"WARN_INAME_CONFW","Nome interno de pinturas em conflito"
"WARN_VEH_NONE","Por favor, selecione pelo menos um caminhão, reboque ou modificação para sua pintura"
"WARN_VEH_NONES","Nenhum veículo selecionado"
