"context","target"
"LOCALE","ro"
"GAME_ATS",""
"GAME_ETS",""
"BUTTON_SAVE",""
"BUTTON_LOAD",""
"BUTTON_PREVIOUS",""
"BUTTON_NEXT",""
"BUTTON_ABOUT",""
"BUTTON_EXPORT",""
"BUTTON_COLOURS",""
"BUTTON_OKAY",""
"BUTTON_CONFIRM",""
"BUTTON_CONTINUE",""
"BUTTON_NEVERMIND",""
"BUTTON_YES",""
"BUTTON_NO",""
"BUTTON_UPDATE",""
"SETUP_VERSION",""
"SETUP_UPDATE",""
"SETUP_CREATE",""
"SETUP_LOAD",""
"SETUP_WELCOME",""
"SETUP_QUESTION",""
"ABOUT_TITLE",""
"ABOUT_DEVELOPER",""
"ABOUT_THANKS",""
"ABOUT_CONTRIBUTORS",""
"ABOUT_TRANSLATORS",""
"MOD_TITLE",""
"MOD_NAME",""
"MOD_AUTHOR",""
"MOD_VERSION",""
"MOD_DESCRIPTION",""
"MOD_QUESTION",""
"CABIN_LARGEST",""
"CABIN_ALL",""
"CABIN_SELECTED",""
"CABIN_DSPLIT",""
"CABIN_SPLIT",""
"PJOB_TITLE",""
"PJOB_NAME",""
"PJOB_PRICE",""
"PJOB_UNLOCK",""
"PJOB_UNLOCKD",""
"PJOB_VEHICLES",""
"INTERNAL_TITLE",""
"INTERNAL_NAME",""
"INTERNAL_CABIN",""
"INTERNAL_PJOB",""
"TAB_TRUCKS",""
"TAB_TRAILERS",""
"TAB_BUSES",""
"TAB_CARS",""
"TAB_TRUCK_MODS",""
"TAB_TRAILER_MODS",""
"TAB_BUS_MODS",""
"TAB_CAR_MODS",""
"TAB_NEW",""
"WARN_MNAME_BLANK",""
"WARN_MNAME_BLANKS",""
"WARN_MNAME_INVAL",""
"WARN_MNAME_INVALS",""
"WARN_MNAME_FULL",""
"WARN_MNAME_FULLS",""
"WARN_MNAME_SPC",""
"WARN_MNAME_SPCS",""
"WARN_MNAME_RESER",""
"WARN_MNAME_RESERS",""
"WARNING_HELP",""
"WARNING_TITLE",""
"WARN_MAUTH_INVAL",""
"WARN_MAUTH_INVALS",""
"WARN_MVER_INVAL",""
"WARN_MVER_INVALS",""
"WARN_PNAME_BLANK",""
"WARN_PNAME_BLANKS",""
"WARN_PNAME_INVAL",""
"WARN_PNAME_INVALS",""
"WARN_PNAME_FULL",""
"WARN_PNAME_FULLS",""
"WARN_PNAME_SPC",""
"WARN_PNAME_SPCS",""
"WARN_PNAME_RESER",""
"WARN_PNAME_RESERS",""
"WARN_PNAME_ASCII",""
"WARN_PNAME_ASCIIS",""
"WARN_PRICE_ZERO",""
"WARN_PRICE_ZEROS",""
"WARN_INAME_BLANK",""
"WARN_INAME_BLANKS",""
"WARN_INAME_BLANKW",""
"WARN_INAME_LONG10",""
"WARN_INAME_LONG12",""
"WARN_INAME_LONGS",""
"WARN_INAME_LONGW",""
"WARN_INAME_ALPHA",""
"WARN_INAME_ALPHAS",""
"WARN_INAME_ALPHAW",""
"WARN_INAME_RESER",""
"WARN_INAME_RESERS",""
"WARN_INAME_RESERW",""
"WARN_INAME_CONF",""
"WARN_INAME_CONFS",""
"WARN_INAME_CONFW",""
"WARN_VEH_NONE",""
"WARN_VEH_NONES",""
"WARN_VEH_INCOM",""
"WARN_TEXT",""
"CONFIRM_STARTT",""
"CONFIRM_START",""
"CONFIRM_TEXT",""
"CONFIRM_LOADT",""
"CONFIRM_LOAD",""
"CONFIRM_SAVET",""
"CONFIRM_SAVE",""
"CONFIRM_SAVEE",""
"SAVE_TITLE",""
"SAVE_INVALT",""
"SAVE_INVAL",""
"SAVE_INVALQ",""
"LOAD_TITLE",""
"LOAD_INVAL",""
"EXPORT_TITLE",""
"EXPORT_CHOOSE",""
"EXPORT_SELECT",""
"EXPORT_FOLDER",""
"EXPORT_CREATE",""
"EXPORT_EMPTY",""
"EXPORT_TEMPLATES",""
"EXPORT_WINDOW",""
"EXPORT_EXISTST",""
"EXPORT_EXISTS",""
"EXPORT_EXISTS2",""
"EXPORT_READY",""
"EXPORT_DONET",""
"EXPORT_DONE",""
"EXPORT_DONE2",""
"THEME_DARK",""
"THEME_LIGHT",""
"WSHOP_LOCAL",""
"WSHOP_WSHOP",""
"CHANGE_TITLE",""
"CHANGE_DEFAULT",""
"CHANGE_RED",""
"CHANGE_GREEN",""
"CHANGE_BLUE",""
"CHANGE_ENABLE",""
"CHANGE_USER",""
"HELP_MNAME",""
"HELP_MAUTH",""
"HELP_MVER",""
"HELP_MDESC",""
"HELP_PNAME",""
"HELP_PRICE",""
"HELP_UNLOCK",""
"HELP_INAME",""
"HELP_CABIN",""
"HELP_SPLIT",""
"HELP_BASE",""
"HELP_CHANGE",""
"HELP_CHANGER",""
"HELP_CHANGEG",""
"HELP_CHANGEB",""
"CHANGE_BASE",""
